cycle,day,Temp,B_mean,B_sd,CTmin_mean,CTmin_sd,CTmax_mean,CTmax_sd,Topt_mean,Topt_sd,B_CTmin_cov,fitness_mean,fitness_sd
5112,1130,20,31.347,1.18697,5.51501,1.18292,36.862,1.53349,26.413,1.3119,-0.2283,0.361178,0.188604
5113,1140,20,31.3529,1.20432,5.52562,1.20493,36.8786,1.55047,26.4276,1.32827,-0.249134,0.361694,0.189179
5114,1150,20,31.3506,1.20195,5.53479,1.19184,36.8854,1.56345,26.4352,1.33493,-0.210397,0.358992,0.188532
5115,1160,20,31.3617,1.20988,5.53254,1.1989,36.8943,1.59033,26.4404,1.35644,-0.186005,0.360325,0.186888
5116,1170,20,31.3838,1.19822,5.52315,1.17298,36.907,1.5548,26.4457,1.32332,-0.197115,0.358162,0.188229
5117,1180,20,31.3852,1.18571,5.54438,1.19123,36.9295,1.5441,26.4678,1.3229,-0.220356,0.361345,0.18684
5118,1190,20,31.3816,1.15137,5.51997,1.19522,36.9016,1.51783,26.4411,1.31052,-0.225195,0.367769,0.18714
5119,1200,20,31.3699,1.16003,5.57,1.192,36.9399,1.50592,26.4832,1.29863,-0.24936,0.366645,0.185674
5120,1210,20,31.3724,1.19678,5.54097,1.18178,36.9134,1.52026,26.4559,1.29924,-0.258853,0.357355,0.189959
5121,1220,20,31.3772,1.1825,5.55343,1.19712,36.9306,1.51941,26.4716,1.30615,-0.261399,0.360435,0.188131
5122,1230,20,31.3957,1.18529,5.58076,1.20523,36.9764,1.53572,26.5112,1.32071,-0.249529,0.363972,0.188367
5123,1240,20,31.4029,1.17444,5.54863,1.20312,36.9515,1.51742,26.4839,1.30807,-0.262114,0.365383,0.187541
5124,1250,20,31.3845,1.18628,5.58523,1.21816,36.9698,1.54753,26.5083,1.3336,-0.248167,0.36366,0.187267
5125,1260,20,31.4086,1.18845,5.567,1.21638,36.9756,1.577,26.5061,1.35547,-0.202532,0.357859,0.188787
5126,1270,20,31.3827,1.17182,5.57462,1.19908,36.9573,1.5309,26.4964,1.31778,-0.23365,0.362428,0.187477
5127,1280,20,31.3985,1.17913,5.58078,1.1962,36.9793,1.53493,26.5131,1.31859,-0.232612,0.358874,0.189275
5128,1290,20,31.3818,1.1446,5.53886,1.19116,36.9206,1.50574,26.46,1.30128,-0.23086,0.362414,0.190868
5129,1300,20,31.4033,1.15461,5.56275,1.18614,36.966,1.52507,26.4983,1.31274,-0.207095,0.362633,0.187554
5130,1310,20,31.3957,1.1965,5.54372,1.1941,36.9394,1.54994,26.4742,1.32616,-0.227591,0.362091,0.188447
5131,1320,20,31.4356,1.18294,5.52719,1.19073,36.9628,1.56159,26.4843,1.33692,-0.18932,0.359935,0.188599
5132,1330,20,31.4214,1.15322,5.53229,1.19643,36.9536,1.53808,26.4799,1.32617,-0.197835,0.360966,0.18669
5133,1340,20,31.4119,1.17422,5.5402,1.19088,36.9521,1.53344,26.4815,1.3168,-0.222774,0.363011,0.187215
5134,1350,20,31.4116,1.16048,5.53798,1.17505,36.9496,1.50614,26.479,1.29355,-0.229505,0.360923,0.189367
5135,1360,20,31.4067,1.14479,5.54692,1.19748,36.9536,1.52967,26.4847,1.32162,-0.202299,0.362143,0.189331
5136,1370,20,31.3997,1.15998,5.53856,1.19799,36.9383,1.5037,26.4717,1.29877,-0.259818,0.360572,0.190132
5137,1380,20,31.3923,1.1689,5.5564,1.1985,36.9487,1.52733,26.4846,1.31542,-0.234986,0.361623,0.187736
5138,1390,20,31.4034,1.15002,5.5646,1.185,36.968,1.52866,26.5002,1.31608,-0.194971,0.363049,0.188112
